제목,장점,단점,경영진에게 하고싶은 말
동종업계 상위 연봉 및 노력에 따라 승진 기회 부여,"노력하면 승진을 빨리 할 수 있다. 그리고 특진의 기회도 있는데, 이건 야근을 많이 하면 특진을 할 수 있다. 이런것은 연봉으로 귀결 됨.",뒷담화를 하는 무리가 국소적으로 많다. 윗사람과 같은 술자리를 하면서 친목 무리를 만들어 다니기도 한다.,"직원의 능력을 최대한으로 끌어 올려주시길 바랍니다. 그리고, 적재 적소에 인재 배치에 더욱 신경을 써주시면 감사하겠습니다."
개발자들에게는 좋은회사,"임원진에 개발자 출신이 많음. 그래서인지 개발자들에 대우는 좋은편. 신입부터 시작해서 임원진으로 올라간 케이스가 대부분, 낙하산 같은건 걱정하지 않아도됨.","경영진에 대한 믿음은 좀 적어짐, 모바일 산업으로 변화하면서 잘 쫒아가지 못한 감이 있음. (현재는 이것저것 많이 준비하는듯?) 신입위주로 뽑기 때문에 경험이 풍부한사람이 많이 없음. 어느 직장이나 마찬가지듯 3~5년차에 퇴직을 많이 해서 그 이상 개발자가 별로 없음.",비 개발직군에 대한 처우 개선과 축소되고 있는 복지가 다시 돌아왔으면..
신입 개발자 특히 병특에겐 꿀직장 비개발자에겐 글쎄,개발자에게 무한 관대함. 이 돈 받고 병역도 해결할 수 있는 직장이 있을까,비개발자에게는 가혹한 잣대. 임원진에 대한 불신으로 파편화된 개인들. 몰려다니며 뒷담화하고 이간질하는 나쁜 무리들만 승진하는 문화.,임원진이 전문적인 경영 능력을 갖추었다고 보기 어려움. 특히 노동자를 말 그대로 노예로 부려야 말을 듣는다고 생각하는 임원도 있음.
"경영진의 마인드가 사원복지와 처우에 관심이 많다. 급여는 능력에 따라 차이가 큼, 사용자가 많은 프로젝트를 경험해 볼수있다. 경력에 좋음",알집 알약으로 이름이 많이 알려져 있고 자기개발의 적극적으로 돕는다. 급여는 괜찮은 편,최근 모바일 시장과 게임 분야에서 사업성과가 부진한 편,사원들의 젊고 참신한 목소리에서 좋은 아이디어가 많이 있습니다. 금맥은 회사안에 있습니다.
지원하면 나쁘지는 않은 회사.,"같이 일하는 동료들이 좋음, 저녁에 간식거리 제공. 입소문이 소리없이 빠릅니다.","조금 딱딱하고 경직된 분위기, 야근하는 시간이 많을수록 일을 열심히 한다는 생각.",냉무
"부서에 따라 글로벌한 해오 퍼블리셔 같이 글로벌하게 일을 할 수도 있고, 많은 사람들이 사용하는 소프트웨어 개발을 할수도 있는 기업","가족같은 분위기이며, 개발직의 경우 시험을 통해 상사보다 연봉을 더 많이 받을 수도 있는 특이한 문화","사람이 계속 늘어나면서 가족같은 분위기가 조금씩 사라지는 느낌이 있으며, 한 사람이 전문분야가 아닌 여러가지 일을 같이 해야되는 경우가 많다.",조금더 각 분야별로 전문화를 해서 담당해서 회사 및 개인 역량 발전에 도움이 되는 방향이 되었으면 좋겠습니다.
다녀보면 더 괜찮은 곳이라고 생각할 수 있는 회사,연봉은 IT업계에서 높은 편에 속함. 여직원 많은 편. 직원들 나이는 20대후반 ~ 30대초반이 대부분이라 분위기는 좋은 편. 야근도 별로 없는 편.,젊은 사람들이 많다보니 업계경험이 많은 경력자들이 부족. 또 회사에서 경력을 쌓은 직원들은 좋은 대우를 받고 더 큰 회사로 가기도 함,이 한가지 있다면 선택과 집중이 필요해보임
작지만 강한 기업 왠만한 대기업보다 급여도 나을 수 있을껄?,"자율적인 분위기, 복지 좋음 또라이가 적음 실력에 따라 빠른 연봉 상승의 기회",아직 작은 기업인데 대기업 따라할라고 하는 분위기가 있음 의사결정 속도가 늦어지는 점이 있음,오래되고 실력없는 사람보다 젊고 능력있는 사람의 평가가 필요함 전체적으로 공정한 평가를 하는게 좋음
"구글 복지, 구글 사내문화를 만들려고 노력하는 기업. 하지만 퍼포먼스는 아쉬움.","10시, 11시 퇴근하면 다음날 10시, 11시까지 출근하는 지연출근제도 주말에 출근하면 원하는 날 휴무인 대체휴일제 샌드위치데이 휴무 직원들의 소리를 들으려고 노력하는(하지만 쉽지않은) 경영진 자유로운 사내분위기 신입 직원들에게도 거침없이 업무 분담(과연 마냥 좋은건진 모르겠지만) 사내 카페테리아 아메리카노 600원 아침 빵 무료 제공 저녁 간식 제공(했었음 언제 부활할지) 임원진에 대한 불만이 많이 없다 이상한(진짜 이해 안되는 ㄸㄹㅇ) 사람이 없다.(2년차인데 아직까지는)",현실에 안주하려는 자세?? 위험회피적 성향 경력직원의 부재(내가 있는 부서에서 가장 많은 경력을 가진 사람이 5년차..) 퍼포먼스에 비해 몸집을 너무 불려서 위태로운 느낌,신입 직원 및 리더급에 대한 체계적인 교육이 꾸준히 이루어졌으면 좋겠고 직원들의 외부행사 참여에 대한 지원이 많았으면 좋겠다. 저녁 간식 다시 부활시켜주세요 사내 식당 원츄!!!
2013년 하반기에 취업 성공했습니다. 스펙같은것 보다는 관력직종 경험과 자신의 역량을 잘 어필하면 충분히! 스펙은 정말 상관없습니다! IT 기업중에서는 입지를 가진 기업인만큼 다들 준비해 보세요~,6개월 마다 한번씩 있는 테스트를 통해 빠르게 직급과 연봉을 올릴 수 있다. 노력한만큼 보상을 받을 수 있어 좋은 것 같다.,"앞으로 새로이 무엇을 해나갈지를 모르겠다. 현재는 여러 윈도우 소프트웨어쪽에 강세를 보이고 있다지만, 세상은 IoT가 대세가 되가고 있으니까..",그냥 지금처럼!
큰 욕심이라기보다는 그냥 적당히 일하고 적당히 돈 벌게 싶으면 괜찮은듯,"확실히 자유로운 분위기는 있어요, 사내 복지도 나쁘지 않은 편",사내정치를 잘 해야 한달까? 그리고 야근은 직군에 따라서 케바케인듯,한가지 일에 집중하지 못하고 너무 여러가지를 다 해야하는 점이 안좋음
아직 작은 회사인 만큼 본인 성장 욕심만 있으면 얼마든지 기회와 가능성이 있고 같이 커나갈 수 있음.,요즘은 야근도 별로 없음. 사내 정치 없음. 성과기반 보상.,최근 수익성이 낮아짐. 큰회사에 비해 지원 시스템이 약하다보니 여러 일을 함께 해야 할 때도 있음.,직원들과의 소통이 더 잘 되었으면 좋겠음.
일과 생활의 균형을 이룰수있다,"야근하는 분위기아님, 괜찮은 초봉 ,분위기. Soso","이상한사람들이 있음, 나는되고. 너는안됨",체계적인 인사평가로 자주 문제있는 사람들 모니터링하셧으면 합니다
개발자는 학력 차별 전혀 없고 편하게 일 할 수 있는 회사,"연봉도 어느정도 높은 편, 불필요한 업무 개선 노력 의지 강함, 평균 연령이 타 회사에 비해 낮아서 자유로운 업무 분위기",개발자는 진급이 시험이 매우 큰 영향을 미치기 때문에 일을 열심히 해도 시험에 떨어지면 진급 불가,"의미 없는 프로젝트는 미련없이 접고 새로운 프로젝트 진행, 타 직군 학력 차별요소 제거"
"개발자에게는 좋은 회사, 개발자에게 교육의 기회와 다양한 업무를 할 수 있는 기회가 있다.",개발자에게 시험을 통한 빠른 승진 기회. 기술 업무에 집중할 수 있는 환경 다양한 개발 영역 사내 문화,진행되고 있는 사업 분야의 대부분이 메이져서비스가 자리잡고 있음. 수익을 제대로 낼 수 있는 분야는 게임 분야. 1차 승진은 업무 성과와 관계가 없음.,사장님이 직접적으로 서비스 개발중에 참여 안했으면 좋겠다.
"분위기, 복지좋은 사람냄새나는 IT회사",사내문화가 매우 좋다. 정치도 없다. 묵묵히 자신의 일을 성실히 수행하는 멋진문화,사업 구조에서 캐시카우가 차지하는 비중이 높아 새로운 도전을 꺼려하는 경향이 있다,X
"알툴즈, 알약이 대표적이지만, 카발(게임),모바일 게임,줌(포털, 검색서비스)과 같은 다양한 서비스에서 일 할 수 있는 것이 장점","윈도우 어플, 모바일, 웹기획까지 다양한 업무를 할 수 있다.",부서마다 케바케 모바일 대응이 현재 늦다는 평가가 주를 이룸,인센티브 확대
평균이상의 급여와 인간적대우와 함께 자기 시간개발에 따라 자기 개발도 가능한 회사,"인간적인 점이 살아있는 회사 급여는 많은편 인센티브는 적거나 없다. 급여랑해서 또이또이 사람관계에 디스는 적은편, 서로 최소이상의 사회적 예의를 챙기려는 한다.(최소한이상의 개념은 탑재)",매우 빠르게 관료화 되고있다 모험적인 행동은 소극적이다. 중장기적 안목은 좀 부족한듯,규모에 비해 지나치게 탑다운 방식이다. 광범위한 눈치보지않는 의견 수렴이 필요하다.
전사 평균연령이 낮아서 대체로 자유로운 사내문화,"젊은 기업, 칼퇴 눈치 없음(물론 사업부 별로 다름), 자유로운 분위기, 능력에 따른 연봉 상승","신입사원에 대한 갖춰진 교육 부족, 어디에나 있듯이 꼭 이상한 사람 있음",좋습니다
복지 좋다,복지 좋고 연봉도 평타치고 중견회사로써 좋은 회사인듯,생각보다 일이 편중되어 있어서 빡센 파트는 엄청 빡세다.,상품의 라인을 잘 잡아서 나아가면 바람직할듯 하다.
무난하고 좋은 직장입니다,"본인이 잘 적응하고 업무 처리만 확실하다면, 업무 외적인 일(야근, 상사눈치 등)으로 스트레스 받는 분위기는 아님. 개인적으로 예술의전당 근처라 날씨가 좋으면 점심시간에 산책할 수 있는 환경이 좋았음.",좋게 말하면 개인적인 분위기. 나쁘게 말하면 인간관계가 좀 차가운 느낌.,뭐든지 한발씩 늦는 느낌. 신선한 아이디어 발굴이 좀 부족한 듯. 또한 아이디어를 좀 더 세련되게 다듬어 줄 멘토들을 좀 더 키울 필요가 있음.
자유로운 분위기와 좋은 사람들과 일할 수 있다.,헐렁한 근태. 마음대로 쓸수 있는 연차. 야근을 별로 안함.,승급 시험 통과하기 어려움. 개발자가 부족함.,"입사 시험, 승급 시험 개편"
편안한 저녁시간을 보낼 수 있음,"편안한 저녁시간을 보낼 수 있음, 야근을 지양하는 회사",약간의 느린 의사결정과 업무처리가 아쉽다,조금 더 전투적인 사업을 하셨으면 좋겠다
신입은 승급 기회가 많음. 첫 회사로 선택하기에 괜찮은 회사,업무강도가 그리 강하지 않음. 일정을 빡빡하게 잡지 않아서 저녁을 충분히 즐길 수 있음,3년 미만의 경력이라면 신입입사와 별 차이 없음. 지속되는 적자로 줄어드는 복지,투명하지 못한 인사고과기준을 정리해서 직원들에게 알려주었으면 좋겠음.
회사의 제품 이해도가 높을 수록 좋다,"자유로운 복장, 전체적으로 젊은 회사. 단체주의를 강요하지 않는다.",회사가 아직 젊어서 부족한 체계성과 스피드 추구에 대한 어려움. 약간의 망설임,체계적이고 빠른 의사결정이 필요한 때
"같이 일하는 직원들은 좋으나, 물갈이 없는 현 경영진들의 아집이 심함.","본부,팀마다 분위기가 매우 다르며, 대외적으로 좋은 이미지를 가짐. 비교적 젊은 기업이고 조직문화가 젊은 편에 속함.","본부,팀마다 매우 상이함. 특정본부 같은 경우 근속연수가 매우 짧음. 다들 거쳐가는 회사로 인식. 세세한 부분까지 경영진들이 간섭해서 프로젝트가 산으로 가는 경우가 매우 많음.",얼마전 회사 평점에서 경영진 점수가 제일 낮다는 부분에 대해서 잘 생각해보시길
오래 다니고싶은 회사,자유로운 분위기,느린 진행성,공격적인 경영
할 수 있는 업무범위가 넗어서 매우만족,투명한 경영실태,경직된 조직,유연성있는 의사결정
이스트소프트,"회사 문화와 사람들의 충성도, 그리고 매니지먼트의 도덕성 장점인 회사","너무 커지다 보니, 창조성이 점점 떨어지고 있음",
여자가 다니기 무난한 회사,조직의 안정성,비효율적은 업무플로어,더 전문적인 인재육성에 힘썼으면 한다
